City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Hualmay,PE,74.39,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
6,Rikitea,PF,79.21,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Kapaa,US,78.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Arraial Do Cabo,BR,71.46,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
21,Paita,PE,82.96,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
22,Atuona,PF,78.35,clear sky,-9.8,-139.0333,Villa Enata
24,Atar,MR,74.41,clear sky,20.5169,-13.0499,Oumou Elghoura
26,Dingle,PH,75.96,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
30,Payo,ID,70.65,overcast clouds,-3.7508,103.6372,Mess keban agung
32,Coari,BR,81.73,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
34,Boyolangu,ID,74.53,light rain,-8.1181,111.8935,Yos ega cv
36,Vaini,TO,81.5,broken clouds,-21.2,-175.2,Keleti Beach Resort
40,Port Moresby,PG,74.53,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
42,Butaritari,KI,81.18,light rain,3.0707,172.7902,Isles Sunset Lodge
44,Esperance,AU,75.04,few clouds,-33.8667,121.9,Hospitality Esperance
46,Kavieng,PG,80.6,light rain,-2.5744,150.7967,Nusa Island Retreat
47,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
48,Fortuna,US,80.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
51,Ranong,TH,75.7,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
52,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
54,Faanui,PF,81.18,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
64,Tual,ID,79.75,light rain,-5.6667,132.75,Grand Vilia Hotel
65,Hilo,US,76.73,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
66,Gorontalo,ID,74.62,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
74,Bac Lieu,VN,78.03,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
76,Destin,US,72.43,clear sky,30.3935,-86.4958,The Inn on Destin Harbor
77,Am Timan,TD,80.82,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
80,Lompoc,US,88.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
81,Koumac,NC,79.84,overcast clouds,-20.5667,164.2833,Le Monitel
83,Fare,PF,81.43,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
84,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
85,San Patricio,US,73.38,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
88,San Quintin,MX,72.39,clear sky,30.4833,-115.95,Don Eddie's Landing
92,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
95,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
96,Benguela,AO,76.39,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
99,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
103,East London,ZA,71.65,clear sky,-33.0153,27.9116,Tu Casa
105,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
106,Port Alfred,ZA,70.92,broken clouds,-33.5906,26.891,The Halyards Hotel
107,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
108,Charters Towers,AU,71.91,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
109,Lorengau,PG,80.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
110,Rincon,US,70.86,broken clouds,32.296,-81.2354,Days Inn Rincon
113,Cidreira,BR,76.23,clear sky,-30.1811,-50.2056,Hotel Castelo
116,Kiunga,PG,73.06,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
118,Kanniyakumari,IN,77.7,broken clouds,8.0833,77.5667,Sparsa
119,Frontera,MX,70.32,broken clouds,26.9333,-101.45,Casagrande Hotel
121,Oriximina,BR,85.14,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
129,Wairoa,NZ,76.6,overcast clouds,-39.0333,177.3667,Riverside Motor Camp
133,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
134,Talara,PE,83.16,few clouds,-4.5772,-81.2719,Hostal Oro Negro
135,Half Moon Bay,US,76.05,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
136,Saint-Pierre,RE,74.88,few clouds,-21.3393,55.4781,Lindsey Hôtel
137,Castro,BR,75.07,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
138,Monrovia,LR,80.37,clear sky,6.3005,-10.7969,Sunset Inn
141,Kuching,MY,73.62,light rain,1.55,110.3333,The Ranee Boutique Suites
144,Umkomaas,ZA,77.59,scattered clouds,-30.2067,30.7978,The Norwegian Lodge
146,Kirakira,SB,78.96,overcast clouds,-10.4544,161.9205,SanBiz Lodge
149,Tabou,CI,79.61,clear sky,4.423,-7.3528,hotêl doufoulougou
150,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
159,Ahipara,NZ,73.62,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
162,Asosa,ET,70.36,clear sky,10.0667,34.5333,Blendana Hotel Assosa
163,San Carlos Del Zulia,VE,88.68,scattered clouds,9.0,-71.9135,Hotel El Manantial
166,Candolim,IN,73.27,clear sky,15.5181,73.7626,Resort Terra Paraiso
168,Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
174,Kusti,SD,76.84,clear sky,13.1629,32.6635,فندق الكوباري - Kobari Hotel
175,Gizo,SB,80.62,moderate rain,-8.103,156.8419,Imagination Island
176,Guerrero Negro,MX,74.05,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
179,Trairi,BR,82.49,overcast clouds,-3.2778,-39.2689,janelas do mar
190,Hithadhoo,MV,81.46,overcast clouds,-0.6,73.0833,Scoop Guest House
191,Mana,GF,80.26,broken clouds,5.6592,-53.7767,LE SAMANA
196,Kalmunai,LK,75.61,overcast clouds,7.4167,81.8167,VS Villa
197,Mogadishu,SO,76.96,clear sky,2.0371,45.3438,Hotel Juba
201,Biak,ID,75.92,broken clouds,-0.9131,122.8766,Penginapan Kim
206,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
210,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
212,Ambovombe,MG,74.79,scattered clouds,-25.1667,46.0833,RELAHARA
