City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Longyearbyen,SJ,78.2186,15.6401,24.64,68,75,8.05,broken clouds
1,Hualmay,PE,-11.0964,-77.6139,74.39,69,100,8.61,overcast clouds
2,Cedar City,US,37.6775,-113.0619,50.4,40,0,10.36,clear sky
3,Batemans Bay,AU,-35.7167,150.1833,67.19,83,100,6.31,overcast clouds
4,Khatanga,RU,71.9667,102.5,-5.48,97,95,13.44,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,58.48,92,100,2.55,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,79.21,72,89,18.81,overcast clouds
7,Kapaa,US,22.0752,-159.319,78.19,71,0,3.0,clear sky
8,Kaitangata,NZ,-46.2817,169.8464,58.53,92,89,3.38,overcast clouds
9,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,100,4.61,overcast clouds
10,Barrow,US,71.2906,-156.7887,-27.38,62,100,8.05,haze
11,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,100,12.66,light snow
12,Imeni Poliny Osipenko,RU,52.4201,136.4853,0.09,99,100,0.43,overcast clouds
13,Klaksvik,FO,62.2266,-6.589,27.52,58,85,12.75,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,64.9,77,0,3.47,clear sky
15,Nizhniy Tsasuchey,RU,50.5167,115.1333,-11.18,95,37,5.75,scattered clouds
16,Moncton,CA,46.1159,-64.8019,36.09,87,100,11.5,overcast clouds
17,Bluff,NZ,-46.6,168.3333,58.8,83,65,12.93,broken clouds
18,Albany,US,42.6001,-73.9662,45.27,69,25,9.86,scattered clouds
19,Punta Arenas,CL,-53.15,-70.9167,51.91,54,40,31.07,scattered clouds
20,Hobart,AU,-42.8794,147.3294,57.06,66,0,8.05,clear sky
21,Paita,PE,-5.0892,-81.1144,82.96,61,47,14.25,scattered clouds
22,Atuona,PF,-9.8,-139.0333,78.35,75,0,16.37,clear sky
23,Tuatapere,NZ,-46.1333,167.6833,58.82,90,93,2.66,overcast clouds
24,Atar,MR,20.5169,-13.0499,74.41,13,3,12.06,clear sky
25,Plettenberg Bay,ZA,-34.0527,23.3716,65.05,83,77,0.45,broken clouds
26,Dingle,PH,10.9995,122.6711,75.96,82,100,9.35,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,49.62,71,75,29.93,broken clouds
28,New Norfolk,AU,-42.7826,147.0587,56.7,56,34,2.37,scattered clouds
29,Thompson,CA,55.7435,-97.8558,-9.24,70,100,14.97,overcast clouds
30,Payo,ID,-3.7508,103.6372,70.65,86,100,1.83,overcast clouds
31,Fonte Boa,BR,-2.4959,-66.2662,83.08,77,100,2.15,overcast clouds
32,Coari,BR,-4.085,-63.1414,81.73,89,100,1.86,overcast clouds
33,Barcelos,PT,41.5388,-8.6151,56.91,76,95,2.37,overcast clouds
34,Boyolangu,ID,-8.1181,111.8935,74.53,90,100,3.76,light rain
35,Ntcheu,MW,-14.8203,34.6359,63.63,93,76,2.3,broken clouds
36,Vaini,TO,-21.2,-175.2,81.5,80,81,21.97,broken clouds
37,Bam,IR,29.106,58.357,57.67,28,0,5.37,clear sky
38,Along,IN,28.1667,94.7667,52.57,98,100,1.7,overcast clouds
39,Dwarka,IN,22.2394,68.9678,69.42,49,0,11.63,clear sky
40,Port Moresby,PG,-9.4431,147.1797,74.53,83,100,7.85,overcast clouds
41,Monastyrshchina,RU,54.3496,31.838,31.1,89,100,9.24,overcast clouds
42,Butaritari,KI,3.0707,172.7902,81.18,79,24,17.31,light rain
43,Itoman,JP,26.1247,127.6694,60.82,74,100,5.75,overcast clouds
44,Esperance,AU,-33.8667,121.9,75.04,47,14,20.22,few clouds
45,Saskylakh,RU,71.9167,114.0833,4.82,94,100,13.44,light snow
46,Kavieng,PG,-2.5744,150.7967,80.6,80,71,7.31,light rain
47,The Valley,AI,18.217,-63.0578,82.26,69,40,13.8,scattered clouds
48,Fortuna,US,40.5982,-124.1573,80.85,49,20,1.99,few clouds
49,Port Elizabeth,ZA,-33.918,25.5701,64.69,82,0,3.44,clear sky
50,Boddam,GB,57.4667,-1.7833,36.72,61,57,28.25,broken clouds
